source,strategy,T,n,mean,std,ci_low,ci_high
ablation,cerm,696,19,0.02237556152917834,0.03184089175691302,0.00805815049214791,0.036692972566208765
ablation,cerm,697,19,0.022340034088615977,0.03179676653683416,0.00804246417028887,0.03663760400694308
ablation,cerm,698,19,0.022304506648053623,0.03175356390506835,0.008026363002131031,0.03658265029397621
ablation,cerm,699,19,0.022268979207491258,0.031711287632346645,0.008009845292146921,0.0365281131228356
ablation,cerm,700,19,0.022233451766928897,0.03166994142846528,0.007992909372208723,0.03647399416164907
ablation,cerm,701,19,0.022197924326366542,0.03162952894078981,0.00797555360226087,0.036420295050472215
ablation,cerm,702,19,0.02216239688580418,0.031590053752770623,0.007957776370987544,0.036367017400620816
ablation,cerm,703,19,0.022126869445241823,0.03155151938247115,0.007939576096474513,0.03631416279400913
ablation,cerm,704,19,0.022091342004679465,0.03151392928111007,0.007920951226864597,0.03626173278249433
ablation,cerm,705,19,0.0221252213306591,0.03158082180681915,0.007924752005007266,0.03632569065631094
ablation,cerm,706,19,0.02215910065663874,0.03164902511607343,0.00792796338298676,0.036390237930290725
ablation,cerm,707,19,0.022192979982618377,0.03171853075327033,0.007930589162905689,0.036455370802331064
ablation,cerm,708,19,0.022226859308598013,0.031789330176003876,0.007932633185898229,0.0365210854312978
ablation,cerm,709,19,0.02226073863457765,0.03186141475949164,0.00793409933013953,0.03658737793901577
ablation,cerm,710,19,0.02229461796055729,0.0319347758009703,0.00793499150886923,0.03665424441224535
ablation,cerm,711,19,0.022328497286536932,0.032009404524055915,0.007935313668430838,0.03672168090464303
ablation,cerm,712,19,0.022362376612516565,0.032085292083064945,0.007935069786328732,0.036789683438704396
ablation,cerm,713,19,0.022396255938496205,0.03216242956729256,0.00793426386930448,0.03685824800768793
ablation,cerm,714,19,0.02243013526447584,0.03224080800524461,0.007932899951433816,0.03692737057751787
ablation,cerm,715,19,0.022464014590455477,0.03232041836882006,0.007930982092246058,0.0369970470886649
ablation,cerm,716,19,0.02249789391643512,0.032401251577440705,0.00792851437486714,0.0370672734580031
ablation,cerm,717,19,0.022531773242414756,0.03248329850212524,0.007925500904187659,0.037138045580641856
ablation,cerm,718,19,0.022565652568394396,0.032566549969505004,0.007921945805057227,0.03720935933173156
ablation,cerm,719,19,0.022599531894374032,0.03265099676577863,0.007917853220506206,0.03728121056824186
ablation,cerm,720,19,0.022633411220353672,0.032736629640603386,0.007913227309995965,0.037353595130711376
ablation,cerm,721,19,0.022585463368520128,0.032623831935230004,0.007915999492142436,0.03725492724489782
ablation,cerm,722,19,0.022537515516686583,0.0325123848714083,0.007918164351780268,0.0371568666815929
ablation,cerm,723,19,0.022489567664853046,0.03240230238565418,0.007919715622287658,0.03705941970741843
ablation,cerm,724,19,0.02244161981301951,0.03229359843270037,0.007920647028851521,0.036962592597187496
