_step,T_size,err_active,width_abs,iter,h_min,h_max,run_id,seed,strategy,surrogate_batch_size,epochs_opt
18,276,0.023430383061790017,0.005179166793823242,18,0.003777146339416504,0.008956313133239746,35f0mmba,60,bo,16,8
19,292,0.020698404168509987,0.02500593662261963,19,-0.00340425968170166,0.02160167694091797,35f0mmba,60,bo,16,8
20,308,0.016560321902656105,0.03787130117416382,20,-0.005698859691619873,0.032172441482543945,35f0mmba,60,bo,16,8
21,324,0.0070502816194529805,0.04898625612258911,21,-0.0017462968826293945,0.04723995923995972,35f0mmba,60,bo,16,8
22,340,0.023751622294806984,0.016336500644683838,22,-0.0021227598190307617,0.014213740825653076,35f0mmba,60,bo,16,8
23,356,0.01353178009929612,0.04577529430389404,23,-0.006622314453125,0.03915297985076904,35f0mmba,60,bo,16,8
24,372,0.01011717901172593,0.031162559986114502,24,0.004098653793334961,0.03526121377944946,35f0mmba,60,bo,16,8
25,388,0.00905112013759568,0.03485715389251709,25,0.003317415714263916,0.038174569606781006,35f0mmba,60,bo,16,8
26,404,0.01126430020275071,0.03373456001281738,26,0.0016655325889587402,0.03540009260177612,35f0mmba,60,bo,16,8
27,420,0.01585785136165574,0.028183817863464355,27,-0.0001526474952697754,0.02803117036819458,35f0mmba,60,bo,16,8
28,436,0.009232973908805397,0.02194809913635254,28,0.009590089321136475,0.031538188457489014,35f0mmba,60,bo,16,8
29,452,0.005779212569617775,0.014194667339324951,29,0.01692056655883789,0.031115233898162842,35f0mmba,60,bo,16,8
30,468,0.01726386532726243,0.020244359970092773,30,0.002411067485809326,0.0226554274559021,35f0mmba,60,bo,16,8
31,484,0.015240406846427468,0.016860485076904297,31,0.006126463413238525,0.022986948490142822,35f0mmba,60,bo,16,8
32,500,0.006415641164207009,0.013508081436157227,32,0.01662743091583252,0.030135512351989746,35f0mmba,60,bo,16,8
33,516,0.011814957713508156,0.02948051691055298,33,0.003241896629333496,0.032722413539886475,35f0mmba,60,bo,16,8
34,532,0.01849103555622056,0.008725106716156006,34,0.00694352388381958,0.015668630599975586,35f0mmba,60,bo,16,8
35,548,0.017195468997382668,0.004059731960296631,35,0.010571777820587158,0.014631509780883789,35f0mmba,60,bo,16,8
36,564,0.022398120021247414,0.014820277690887451,36,-1.1146068572998047e-05,0.014809131622314453,35f0mmba,60,bo,16,8
37,580,0.01192778930606797,0.024437367916107178,37,0.005650639533996582,0.03008800745010376,35f0mmba,60,bo,16,8
38,596,0.01999402627887681,0.029913365840911865,38,-0.0051535964012146,0.024759769439697266,35f0mmba,60,bo,16,8
39,612,0.025718664979362038,0.0104750394821167,39,-0.001159071922302246,0.009315967559814453,35f0mmba,60,bo,16,8
1,4,0.034891462182426,1.8792266845703125,1,-0.9447076916694641,0.9345189929008484,p03ztmpk,60,disagreement,16,10
2,20,0.03623438463153794,1.8652748465538025,2,-0.939074695110321,0.9262001514434814,p03ztmpk,60,disagreement,16,10
3,36,0.03678989992084458,1.8399867415428162,3,-0.9269861578941345,0.9130005836486816,p03ztmpk,60,disagreement,16,10
4,52,0.24821158661899612,1.267219066619873,4,-0.35560083389282227,0.9116182327270508,p03ztmpk,60,disagreement,16,10
5,68,0.20628666296062514,1.1450783610343933,5,-0.33645540475845337,0.8086229562759399,p03ztmpk,60,disagreement,16,10
6,84,0.12754237070140884,1.2888643145561218,6,-0.48709267377853394,0.8017716407775879,p03ztmpk,60,disagreement,16,10
7,100,0.0166073201650615,0.450475811958313,7,-0.21204811334609985,0.23842769861221313,p03ztmpk,60,disagreement,16,10
8,116,0.22644027485904739,0.8897140026092529,8,-0.18861961364746094,0.701094388961792,p03ztmpk,60,disagreement,16,10
9,132,0.10120165929737046,0.3440859913825989,9,-0.24344754219055176,0.10063844919204712,p03ztmpk,60,disagreement,16,10
10,148,0.015936637068367454,0.48809814453125,10,-0.1983153223991394,0.2897828221321106,p03ztmpk,60,disagreement,16,10
11,164,0.11824873998222396,0.5433498919010162,11,-0.12362909317016602,0.4197207987308502,p03ztmpk,60,disagreement,16,10
12,180,0.03162851347980544,0.43467235565185547,12,-0.15591055154800415,0.2787618041038513,p03ztmpk,60,disagreement,16,10
13,196,0.07301897392215684,0.21931058168411255,13,-0.15287715196609497,0.06643342971801758,p03ztmpk,60,disagreement,16,10
